Category,Vendor,Lightning,On-Chain,Notes,Contact
"Food","auggie",1,1,"farm is in Ray County","npub16ux4qzg4qjue95vr3q327fzata4n594c9kgh4jmeyn80v8k54nhqg6lra7"
"Food","Steak N Shake",1,0,"Fast food chain","9500 North East Barry Road, Kansas City, MO 64157"
